datetime,0,1
Tue Jul  4 17:45:50 2023,Lysin,non-Lysin
Tue Jul  4 18:17:36 2023,Lysin,non-Lysin
Tue Jul  4 18:53:41 2023,Lysin,non-Lysin
Tue Jul  4 19:09:54 2023,Lysin,non-Lysin
