252.000,7.000,17.000,1.000,0.000,3.000,2.000,0.000,12.000,7.000,5.000
15.000,237.000,2.000,1.000,5.000,14.000,4.000,0.000,2.000,19.000,3.000
5.000,3.000,220.000,8.000,2.000,0.000,14.000,0.000,4.000,4.000,5.000
1.000,2.000,16.000,260.000,1.000,0.000,0.000,0.000,1.000,2.000,0.000
0.000,4.000,15.000,13.000,263.000,1.000,12.000,11.000,1.000,7.000,8.000
11.000,16.000,1.000,0.000,2.000,221.000,2.000,1.000,4.000,4.000,20.000
6.000,2.000,20.000,3.000,4.000,0.000,226.000,17.000,19.000,2.000,3.000
0.000,0.000,1.000,1.000,3.000,0.000,24.000,262.000,0.000,1.000,0.000
3.000,1.000,1.000,0.000,0.000,0.000,1.000,0.000,251.000,0.000,0.000
1.000,20.000,5.000,7.000,10.000,6.000,1.000,2.000,1.000,219.000,8.000
4.000,6.000,0.000,4.000,8.000,53.000,12.000,5.000,3.000,33.000,246.000
