datetime,0,1,2,3,4,5,6,7,8,9
Sat Jul  1 00:29:32 2023,MajorCapsid,MinorCapsid,Baseplate,MajorTail,MinorTail,Portal,TailFiber,Collar,shaft,HTJ
Sat Jul  1 01:58:26 2023,MajorCapsid,MinorCapsid,Baseplate,MajorTail,MinorTail,Portal,TailFiber,Collar,shaft,HTJ
